Date,India,Germany,United Arab Emirates,Italy,Spain,Ireland,Qatar,Saudi Arabia,Washington,New York,California,Hubei,Iran,Korea South,France,Shanghai,Taiwan*
1/22/20,0,0,0,0,0,0,0,0,0,0,0,444,0,1,0,9,1
1/23/20,0,0,0,0,0,0,0,0,0,0,0,444,0,1,0,16,1
1/24/20,0,0,0,0,0,0,0,0,0,0,0,549,0,2,2,20,3
1/25/20,0,0,0,0,0,0,0,0,0,0,0,761,0,2,3,33,3
1/26/20,0,0,0,0,0,0,0,0,0,0,0,1058,0,3,3,40,4
1/27/20,0,1,0,0,0,0,0,0,0,0,0,1423,0,4,3,53,5
1/28/20,0,4,0,0,0,0,0,0,0,0,0,3554,0,4,4,66,8
1/29/20,0,4,4,0,0,0,0,0,0,0,0,3554,0,4,5,96,8
1/30/20,1,4,4,0,0,0,0,0,0,0,0,4903,0,4,5,112,9
1/31/20,1,5,4,2,0,0,0,0,0,0,0,5806,0,11,5,135,10
02/01/20,1,8,4,2,1,0,0,0,0,0,0,7153,0,12,6,169,10
02/02/20,2,10,5,2,1,0,0,0,0,0,0,11177,0,15,6,182,10
02/03/20,3,12,5,2,1,0,0,0,0,0,0,13522,0,15,6,203,10
02/04/20,3,12,5,2,1,0,0,0,0,0,0,16678,0,16,6,219,11
02/05/20,3,12,5,2,1,0,0,0,0,0,0,19665,0,19,6,243,11
02/06/20,3,12,5,2,1,0,0,0,0,0,0,22112,0,23,6,257,16
02/07/20,3,13,5,3,1,0,0,0,0,0,0,24953,0,24,6,277,16
02/08/20,3,13,7,3,1,0,0,0,0,0,0,27100,0,24,11,286,17
02/09/20,3,14,7,3,2,0,0,0,0,0,0,29631,0,25,11,293,18
02/10/20,3,14,8,3,2,0,0,0,0,0,0,31728,0,27,11,299,18
02/11/20,3,16,8,3,2,0,0,0,0,0,0,33366,0,28,11,303,18
02/12/20,3,16,8,3,2,0,0,0,0,0,0,33366,0,28,11,311,18
2/13/20,3,16,8,3,2,0,0,0,0,0,0,48206,0,28,11,315,18
2/14/20,3,16,8,3,2,0,0,0,0,0,0,54406,0,28,11,318,18
2/15/20,3,16,8,3,2,0,0,0,0,0,0,56249,0,28,12,326,18
2/16/20,3,16,9,3,2,0,0,0,0,0,0,58182,0,29,12,328,20
2/17/20,3,16,9,3,2,0,0,0,0,0,0,59989,0,30,12,333,22
2/18/20,3,16,9,3,2,0,0,0,0,0,0,61682,0,31,12,333,22
2/19/20,3,16,9,3,2,0,0,0,0,0,0,62031,2,31,12,333,23
2/20/20,3,16,9,3,2,0,0,0,0,0,0,62442,5,104,12,334,24
2/21/20,3,16,9,20,2,0,0,0,0,0,0,62662,18,204,12,334,26
2/22/20,3,16,13,62,2,0,0,0,0,0,0,64084,28,433,12,335,26
2/23/20,3,16,13,155,2,0,0,0,0,0,0,64084,43,602,12,335,28
2/24/20,3,16,13,229,2,0,0,0,0,0,0,64287,61,833,12,335,30
2/25/20,3,17,13,322,6,0,0,0,0,0,0,64786,95,977,14,336,31
2/26/20,3,27,13,453,13,0,0,0,0,0,0,65187,139,1261,18,337,32
2/27/20,3,46,13,655,15,0,0,0,0,0,0,65596,245,1766,38,337,32
2/28/20,3,48,19,888,32,0,0,0,0,0,0,65914,388,2337,57,337,34
2/29/20,3,79,21,1128,45,1,1,0,0,0,0,66337,593,3150,100,337,39
03/01/20,3,130,21,1694,84,1,3,0,0,0,0,66907,978,3736,130,337,40
03/02/20,5,159,21,2036,120,1,3,1,0,0,0,67103,1501,4335,191,337,41
03/03/20,5,196,27,2502,165,2,7,1,0,0,0,67217,2336,5186,204,338,42
03/04/20,28,262,27,3089,222,6,8,1,0,0,0,67332,2922,5621,285,338,42
03/05/20,30,482,29,3858,259,6,8,5,0,0,0,67466,3513,6088,377,339,44
03/06/20,31,670,29,4636,400,18,8,5,0,0,0,67592,4747,6593,653,342,45
03/07/20,34,799,45,5883,500,18,8,5,0,0,0,67666,5823,7041,949,342,45
03/08/20,39,1040,45,7375,673,19,15,11,0,0,0,67707,6566,7314,1126,342,45
03/09/20,43,1176,45,9172,1073,21,18,15,0,0,0,67743,7161,7478,1209,342,45
03/10/20,56,1457,74,10149,1695,34,24,20,267,173,144,67760,8042,7513,1784,344,47
03/11/20,62,1908,74,12462,2277,43,262,21,366,220,177,67773,9000,7755,2281,344,48
03/12/20,73,2078,85,12462,2277,43,262,45,442,328,221,67781,10075,7869,2281,344,49
3/13/20,82,3675,85,17660,5232,90,320,86,568,421,282,67786,11364,7979,3661,346,50
3/14/20,102,4585,85,21157,6391,129,337,103,572,525,340,67790,12729,8086,4469,353,53
3/15/20,113,5795,98,24747,7798,129,401,103,643,732,426,67794,13938,8162,4499,353,59